minute,passes_before_sub,shots_before_sub,team,player_out,player_in,label
35,1,9,Team B,Player_79,Player_329,1
69,26,1,Team A,Player_80,Player_330,0
50,41,4,Team B,Player_81,Player_331,1
38,1,4,Team B,Player_82,Player_332,1
24,25,5,Team C,Player_83,Player_333,1
54,16,2,Team C,Player_84,Player_334,1
74,39,7,Team C,Player_85,Player_335,0
80,32,0,Team C,Player_86,Player_336,0
18,8,5,Team C,Player_87,Player_337,1
10,42,3,Team C,Player_88,Player_338,1
17,47,0,Team B,Player_89,Player_339,1
72,38,6,Team C,Player_90,Player_340,0
20,28,8,Team C,Player_91,Player_341,1
17,41,3,Team A,Player_92,Player_342,1
44,25,3,Team B,Player_93,Player_343,1
44,34,5,Team B,Player_94,Player_344,1
42,49,2,Team B,Player_95,Player_345,1
14,24,5,Team C,Player_96,Player_346,1
50,23,6,Team C,Player_97,Player_347,1
37,12,9,Team C,Player_98,Player_348,1
16,6,9,Team A,Player_99,Player_349,1
82,35,2,Team C,Player_100,Player_350,0
81,44,6,Team A,Player_101,Player_351,0
21,19,2,Team B,Player_102,Player_352,1
43,0,1,Team C,Player_103,Player_353,1
42,7,9,Team A,Player_104,Player_354,1
57,45,3,Team A,Player_105,Player_355,1
32,15,7,Team C,Player_106,Player_356,1
71,13,8,Team B,Player_107,Player_357,0
46,11,6,Team B,Player_108,Player_358,1
53,22,0,Team B,Player_109,Player_359,1
44,14,2,Team A,Player_110,Player_360,1
74,27,8,Team A,Player_111,Player_361,0
56,33,0,Team A,Player_112,Player_362,1
87,1,8,Team A,Player_113,Player_363,0
12,31,7,Team B,Player_114,Player_364,1
10,22,0,Team C,Player_115,Player_365,1
14,21,5,Team A,Player_116,Player_366,1
23,24,4,Team A,Player_117,Player_367,1
36,21,5,Team B,Player_118,Player_368,1
18,21,9,Team C,Player_119,Player_369,1
88,48,4,Team C,Player_120,Player_370,0
24,41,5,Team B,Player_121,Player_371,1
51,5,4,Team B,Player_122,Player_372,1
86,14,4,Team C,Player_123,Player_373,0
60,42,3,Team A,Player_124,Player_374,1
72,36,2,Team C,Player_125,Player_375,0
61,32,2,Team B,Player_126,Player_376,1
13,7,3,Team A,Player_127,Player_377,1
32,43,8,Team A,Player_128,Player_378,1
24,43,1,Team B,Player_129,Player_379,1
52,4,8,Team B,Player_130,Player_380,1
38,38,0,Team B,Player_131,Player_381,1
45,3,0,Team C,Player_132,Player_382,1
22,5,4,Team C,Player_133,Player_383,1
41,44,5,Team A,Player_134,Player_384,1
80,31,5,Team B,Player_135,Player_385,0
68,29,2,Team A,Player_136,Player_386,0
37,46,6,Team A,Player_137,Player_387,1
75,34,8,Team A,Player_138,Player_388,0
51,39,9,Team A,Player_139,Player_389,1
54,15,7,Team B,Player_140,Player_390,1
71,12,5,Team A,Player_141,Player_391,0
66,49,7,Team B,Player_142,Player_392,0
15,41,4,Team B,Player_143,Player_393,1
37,29,7,Team C,Player_144,Player_394,1
37,18,9,Team B,Player_145,Player_395,1
53,16,3,Team C,Player_146,Player_396,1
39,18,9,Team B,Player_147,Player_397,1
71,27,7,Team B,Player_148,Player_398,0
84,25,9,Team B,Player_149,Player_399,0
71,36,1,Team C,Player_150,Player_400,0
10,25,4,Team C,Player_151,Player_401,1
36,22,8,Team A,Player_152,Player_402,1
71,8,3,Team C,Player_153,Player_403,0
86,11,5,Team C,Player_154,Player_404,0
12,0,0,Team C,Player_155,Player_405,1
79,0,8,Team C,Player_156,Player_406,0
81,46,0,Team A,Player_157,Player_407,0
36,33,4,Team C,Player_158,Player_408,1
18,31,3,Team B,Player_159,Player_409,1
71,47,2,Team B,Player_160,Player_410,0
46,24,5,Team C,Player_161,Player_411,1
60,39,1,Team C,Player_162,Player_412,1
53,44,2,Team B,Player_163,Player_413,1
33,0,4,Team B,Player_164,Player_414,1
88,15,8,Team A,Player_165,Player_415,0
68,38,1,Team B,Player_166,Player_416,0
41,4,9,Team B,Player_167,Player_417,1
61,21,7,Team C,Player_168,Player_418,1
71,28,1,Team B,Player_169,Player_419,0
67,2,4,Team A,Player_170,Player_420,0
61,11,6,Team B,Player_171,Player_421,1
21,25,7,Team C,Player_172,Player_422,1
48,15,0,Team C,Player_173,Player_423,1
11,36,5,Team B,Player_174,Player_424,1
12,21,0,Team C,Player_175,Player_425,1
65,28,1,Team A,Player_176,Player_426,0
68,13,0,Team A,Player_177,Player_427,0
11,27,4,Team B,Player_178,Player_428,1
11,4,9,Team B,Player_179,Player_429,1
63,46,8,Team B,Player_180,Player_430,1
10,48,5,Team C,Player_181,Player_431,1
28,29,0,Team A,Player_182,Player_432,1
11,45,0,Team A,Player_183,Player_433,1
62,4,1,Team C,Player_184,Player_434,1
53,11,8,Team A,Player_185,Player_435,1
41,15,2,Team B,Player_186,Player_436,1
79,25,0,Team B,Player_187,Player_437,0
41,25,4,Team B,Player_188,Player_438,1
77,47,6,Team A,Player_189,Player_439,0
64,20,5,Team B,Player_190,Player_440,1
84,38,0,Team C,Player_191,Player_441,0
65,35,4,Team C,Player_192,Player_442,0
26,32,4,Team A,Player_193,Player_443,1
47,29,5,Team C,Player_194,Player_444,1
33,36,2,Team C,Player_195,Player_445,1
78,22,4,Team A,Player_196,Player_446,0
79,9,6,Team B,Player_197,Player_447,0
20,4,4,Team B,Player_198,Player_448,1
25,35,4,Team B,Player_199,Player_449,1
82,33,4,Team A,Player_200,Player_450,0
68,30,9,Team C,Player_201,Player_451,0
79,9,9,Team B,Player_202,Player_452,0
89,18,2,Team B,Player_203,Player_453,0
12,31,0,Team A,Player_204,Player_454,1
29,0,4,Team B,Player_205,Player_455,1
68,4,8,Team A,Player_206,Player_456,0
45,44,0,Team C,Player_207,Player_457,1
28,3,2,Team A,Player_208,Player_458,1
76,15,3,Team A,Player_209,Player_459,0
28,23,0,Team A,Player_210,Player_460,1
29,15,0,Team A,Player_211,Player_461,1
80,1,7,Team C,Player_212,Player_462,0
61,48,1,Team C,Player_213,Player_463,1
42,27,7,Team B,Player_214,Player_464,1
49,31,6,Team C,Player_215,Player_465,1
48,26,9,Team C,Player_216,Player_466,1
10,19,9,Team B,Player_217,Player_467,1
20,23,1,Team C,Player_218,Player_468,1
66,11,5,Team A,Player_219,Player_469,0
59,49,5,Team A,Player_220,Player_470,1
32,34,2,Team B,Player_221,Player_471,1
40,32,1,Team B,Player_222,Player_472,1
51,32,0,Team B,Player_223,Player_473,1
16,42,5,Team A,Player_224,Player_474,1
25,36,4,Team C,Player_225,Player_475,1
69,11,8,Team A,Player_226,Player_476,0
11,2,0,Team B,Player_227,Player_477,1
10,0,6,Team C,Player_228,Player_478,1
57,32,4,Team C,Player_229,Player_479,1
21,39,4,Team A,Player_230,Player_480,1
78,9,1,Team B,Player_231,Player_481,0
46,42,2,Team A,Player_232,Player_482,1
41,43,6,Team C,Player_233,Player_483,1
18,28,5,Team A,Player_234,Player_484,1
28,12,1,Team A,Player_235,Player_485,1
57,11,5,Team B,Player_236,Player_486,1
89,30,1,Team B,Player_237,Player_487,0
12,45,1,Team C,Player_238,Player_488,1
29,1,1,Team A,Player_239,Player_489,1
33,49,2,Team A,Player_240,Player_490,1
63,34,1,Team A,Player_241,Player_491,1
42,22,3,Team C,Player_242,Player_492,1
33,16,8,Team C,Player_243,Player_493,1
84,25,5,Team B,Player_244,Player_494,0
81,7,0,Team B,Player_245,Player_495,0
45,28,7,Team B,Player_246,Player_496,1
47,25,6,Team A,Player_247,Player_497,1
34,9,9,Team A,Player_248,Player_498,1
27,25,2,Team B,Player_249,Player_499,1
